candle_begin_time,total_mcap
2022-10-12,367391447229.95734
2022-10-13,371731749298.2505
2022-10-14,367967465552.58215
2022-10-15,365722351004.4941
2022-10-16,369584293835.8097
2022-10-17,375024092833.7321
2022-10-18,370891718468.2332
2022-10-19,367171621206.3893
2022-10-20,365543015077.48004
2022-10-21,367839754255.2299
2022-10-22,368541303588.25543
2022-10-23,375444263357.0138
2022-10-24,371211779873.32
2022-10-25,385624152241.5557
2022-10-26,398588922090.8226
2022-10-27,389306507854.3298
2022-10-28,395266756395.27246
2022-10-29,399567972100.2665
2022-10-30,396075135322.20874
2022-10-31,393413045572.616
2022-11-01,393230695987.8759
2022-11-02,386993271473.7937
2022-11-03,387983112928.2921
2022-11-04,405992446610.6931
2022-11-05,408613690153.4826
2022-11-06,401792318391.30524
2022-11-07,395596352770.064
2022-11-08,356030188152.58905
2022-11-09,304958504278.1526
2022-11-10,337735690619.84314
2022-11-11,327139766936.1502
2022-11-12,322642084634.088
2022-11-14,319192915033.1579
2022-11-15,324326299579.88184
2022-11-16,320208159886.84937
2022-11-17,320570440520.8379
2022-11-18,320781106962.5797
2022-11-19,321061621175.66943
2022-11-20,313012826679.8422
2022-11-21,303332140406.8789
2022-11-22,311078520948.50336
2022-11-23,319180537510.3173
2022-11-24,319074189335.0502
2022-11-25,317499392769.30334
2022-11-26,316404791284.9549
2022-11-27,316040534591.7405
2022-11-28,311686396568.4368
2022-11-29,316074930082.5842
2022-11-30,329997633644.4516
2022-12-01,326142124579.0605
2022-12-02,328491679165.229
2022-12-03,325037180854.6688
2022-12-04,329323845088.80054
2022-12-05,326346115859.8238
2022-12-06,328566216152.48944
2022-12-07,323943465219.0649
2022-12-08,331370511898.07184
2022-12-09,329458400093.4382
2022-12-10,329389313682.7077
2022-12-11,328933297475.72217
2022-12-12,330914961275.3324
2022-12-13,341988994228.34393
2022-12-14,342665763913.09174
2022-12-15,334010450284.29504
2022-12-16,320225997953.7302
2022-12-17,323078968931.8267
2022-12-18,322379914497.28156
2022-12-19,316271488936.7199
2022-12-20,325263465984.5135
2022-12-21,323570505189.5603
2022-12-22,323831438044.2789
2022-12-23,323203056785.71155
2022-12-24,324190184505.54065
2022-12-25,324093186300.8488
2022-12-26,325604307791.2235
2022-12-27,321717198701.49554
2022-12-28,318567071312.2307
2022-12-29,320309344585.9317
2022-12-30,319729679477.41644
2022-12-31,318516317872.31696
2023-01-01,320025834692.41675
2023-01-02,321262452550.66034
2023-01-03,321111951654.67773
2023-01-04,324658229824.6663
2023-01-05,324163886549.5061
2023-01-06,326401273258.7144
2023-01-07,326478273136.71674
2023-01-08,329114546384.358
2023-01-09,331160060320.4083
2023-01-10,335987993694.3683
2023-01-11,345414665939.1093
2023-01-12,363433455081.2154
2023-01-13,383483154873.94354
2023-01-14,404052157141.3995
2023-01-15,402234665331.2941
2023-01-16,407818156777.239
2023-01-17,407681958151.5638
2023-01-18,398593008037.1271
2023-01-19,406279900294.94476
2023-01-20,436928964721.3227
2023-01-21,438896650641.2336
2023-01-22,437814457018.4058
2023-01-23,441960667796.8358
2023-01-24,436237993963.61163
2023-01-25,445539806080.3175
2023-01-26,443923229458.1436
2023-01-27,444830940521.3693
2023-01-28,443936922524.4536
2023-01-29,458291157032.2601
2023-01-30,440298767854.79315
2023-01-31,446082285297.1855
2023-02-01,457370104397.9075
2023-02-02,452534728124.06213
2023-02-03,452119476083.71124
2023-02-04,449874457148.44037
2023-02-05,442642331535.5971
2023-02-06,438893838655.3573
2023-02-07,448636152158.0799
2023-02-08,444277795001.8771
2023-02-09,420806214870.312
2023-02-10,417588395181.6556
2023-02-11,421847190488.2833
2023-02-12,420274300806.27954
2023-02-13,420678828415.2883
2023-02-14,428694441747.0055
2023-02-15,470774508575.0006
2023-02-16,455770787833.3523
2023-02-17,473972409615.03546
2023-02-18,477238847082.5323
2023-02-19,469431477134.25073
2023-02-20,479132405758.1335
2023-02-21,471577656114.2449
2023-02-22,466821375594.4136
2023-02-23,462189287816.4596
2023-02-24,447747058643.6327
2023-02-25,447323985682.71094
2023-02-26,454795165822.8222
2023-02-27,454075216419.72534
2023-02-28,446846764116.34467
2023-03-01,456508161672.79443
2023-03-02,453226586695.7356
2023-03-03,431765463285.521
2023-03-04,431607268094.03253
2023-03-05,433216160786.4405
2023-03-06,433122543176.48615
2023-03-07,429090671119.9654
2023-03-08,419421447158.2493
2023-03-09,393268847887.49304
2023-03-10,389890609883.89044
2023-03-11,398509689462.4426
2023-03-12,428114557464.9001
2023-03-13,467417380966.84705
2023-03-14,478037073214.70026
2023-03-15,470908667056.63525
2023-03-16,485207399657.02094
2023-03-17,531130234161.89996
2023-03-18,522258979606.30286
2023-03-19,543037803329.8703
2023-03-20,537780727898.319
2023-03-21,545693892824.0561
2023-03-22,528875580084.9629
2023-03-23,548756969792.85284
2023-03-24,532474990314.51404
2023-03-25,532502525699.922
2023-03-26,542178945116.1572
2023-03-27,525630596959.75073
2023-03-28,528114336697.4742
2023-03-29,549037209742.9096
2023-03-30,542938800838.5934
2023-03-31,551555797547.1848
2023-04-01,551254813486.4742
2023-04-02,545245950698.04315
2023-04-03,537360742269.68097
2023-04-04,545255686211.0959
2023-04-05,545449314793.1775
2023-04-06,542349825341.82776
2023-04-07,540570104028.11334
2023-04-08,540994709818.4272
2023-04-09,548015190714.3616
2023-04-10,573568312635.048
2023-04-11,584854674446.254
2023-04-12,578269015249.9617
2023-04-13,588444790114.9391
2023-04-14,589786626446.9738
2023-04-15,586582359795.3948
2023-04-16,586546802552.2202
2023-04-17,569977480535.2278
2023-04-18,588197752221.2214
2023-04-19,557748035703.2535
2023-04-20,546611911812.6599
2023-04-21,527883377617.6862
2023-04-22,538371205878.2935
2023-04-23,534020212996.70355
2023-04-24,532766516006.9592
2023-04-25,547928945542.44116
2023-04-26,550180352607.5417
2023-04-27,570550222405.7001
2023-04-28,568244599906.8253
2023-04-29,566240497928.7537
2023-04-30,566661285145.3615
2023-05-01,543900696259.6899
2023-05-02,555325979264.0311
2023-05-03,561661086030.563
2023-05-04,558617183940.5033
2023-05-05,571935354879.6998
2023-05-06,559767467680.9207
2023-05-07,551083296208.7969
2023-05-08,536375393861.246
2023-05-09,535713623918.84863
2023-05-10,535026153601.5192
2023-05-11,523022981321.14575
2023-05-12,519254029391.82794
2023-05-13,518873704830.13385
2023-05-14,521742220416.75854
2023-05-15,526844318152.19324
2023-05-16,523846408825.0843
2023-05-17,530890147614.6658
2023-05-18,519935930271.5636
2023-05-19,521083278041.8144
2023-05-20,525746096848.09174
2023-05-21,518489461930.7872
2023-05-22,520401926578.39856
2023-05-23,527685629563.86
2023-05-24,510440697384.32367
2023-05-25,513207340509.1825
2023-05-26,517943916949.9772
2023-05-27,520858138785.1115
2023-05-28,544483610242.00146
2023-05-29,537924888418.85443
2023-05-30,537106462875.1878
2023-05-31,527773175251.99133
2023-06-01,520044966564.45465
2023-06-02,528404436446.267
2023-06-03,525043616807.48834
2023-06-04,525920232790.7732
2023-06-05,499587457194.5289
2023-06-06,528291607015.5367
2023-06-07,510996613395.6248
2023-06-08,514170400421.0519
2023-06-09,513657047934.37006
2023-06-10,501477392550.5084
2023-06-11,503230985844.9784
2023-06-12,502523702241.1556
2023-06-13,503223775338.4376
2023-06-14,487476514345.2755
2023-06-15,496264527630.9206
2023-06-16,510862345346.3528
2023-06-17,514442327519.5052
2023-06-18,511079706782.83563
2023-06-19,521094554604.364
2023-06-20,549771733917.4614
2023-06-21,582785323709.091
2023-06-22,580578124574.222
2023-06-23,595803665519.792
2023-06-24,592983006395.14
2023-06-25,592950420930.0228
2023-06-26,587650439314.872
2023-06-27,595773660616.4917
2023-06-28,584108674470.8668
2023-06-29,591107911061.2471
2023-06-30,591758288455.7257
2023-07-01,593974448099.1066
2023-07-02,594601955892.8595
2023-07-03,605031166919.2024
2023-07-04,597702171825.997
2023-07-05,592615228830.7941
2023-07-06,580894851051.4467
2023-07-07,589336655273.9777
2023-07-08,588404379630.1592
2023-07-09,586079772336.9995
2023-07-10,590834747692.9625
2023-07-11,594872050276.3904
2023-07-12,590443005304.9202
2023-07-13,611535352757.6139
2023-07-14,589374459085.8765
2023-07-15,588656416080.4667
2023-07-16,587778068681.4154
2023-07-17,585797549895.3077
2023-07-18,580205937049.9719
2023-07-19,581348679162.0449
2023-07-20,579003905761.2399
2023-07-21,581292887481.7393
2023-07-22,578655924186.5981
2023-07-23,584762966697.9054
2023-07-24,567148527545.9825
2023-07-25,568155078548.4229
2023-07-26,570661758982.4326
2023-07-27,567881358904.6073
2023-07-28,570017791145.3033
2023-07-29,570774442718.6174
2023-07-30,569216997017.3416
2023-07-31,568365621732.6819
2023-08-01,577056102933.2534
2023-08-02,566898832325.2372
2023-08-03,567446140509.4412
2023-08-04,565434912959.9084
2023-08-05,564840485745.6628
2023-08-06,564864625278.1941
